label,cluster_no
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
maize,0
maize,5
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,5
maize,0
maize,0
maize,6
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,7
chickpea,7
chickpea,6
chickpea,7
chickpea,7
chickpea,6
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
